Year, Month, Day, Hour, Min, Sec,AcX,AcY,AcZ,GyX,GyY,GyZ
2021, 07, 29, 20, 23, 09.100347,-6728,9176,10456,-2448,-810,129
2021, 07, 29, 20, 23, 09.202808,-6808,9200,10596,-2448,-831,109
2021, 07, 29, 20, 23, 09.308538,-6808,9332,10524,-2432,-727,119
2021, 07, 29, 20, 23, 09.388471,-6660,9256,10464,-2464,-831,89
2021, 07, 29, 20, 23, 09.514362,-6804,9184,10512,-2416,-699,187
2021, 07, 29, 20, 23, 09.595315,-6832,9212,10512,-2448,-789,88
2021, 07, 29, 20, 23, 09.720058,-6776,9352,10416,-2448,-760,134
2021, 07, 29, 20, 23, 09.824120,-6780,9084,10644,-2432,-1130,-4
2021, 07, 29, 20, 23, 09.927490,-6760,9036,10748,-2464,-859,134
2021, 07, 29, 20, 23, 10.031413,-6856,9116,10520,-2416,-629,173
2021, 07, 29, 20, 23, 10.134724,-6868,9148,10624,-2448,-671,214
2021, 07, 29, 20, 23, 10.238426,-6816,9124,10532,-2448,-740,148
2021, 07, 29, 20, 23, 10.340785,-6828,9140,10568,-2416,-802,152
2021, 07, 29, 20, 23, 10.445148,-6856,9040,10488,-2448,-795,150
2021, 07, 29, 20, 23, 10.548557,-6892,9056,10608,-2432,-649,165
2021, 07, 29, 20, 23, 10.650932,-6776,9104,10664,-2464,-737,164
2021, 07, 29, 20, 23, 10.754811,-6852,9156,10380,-2432,-685,184
2021, 07, 29, 20, 23, 10.857855,-6752,9228,10400,-2432,-710,157
2021, 07, 29, 20, 23, 10.962371,-6776,9128,10688,-2432,-767,166
2021, 07, 29, 20, 23, 11.064726,-6744,9240,10388,-2416,-720,160
-,-,-,-,-,-,-,-,-,-,-,-
2021, 07, 29, 20, 23, 17.298957,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.302850,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.306853,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.309851,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.314924,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.318917,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.322866,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.325888,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.329851,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.333220,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.336850,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.339870,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.343034,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.346840,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.349905,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.353209,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.356075,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.359872,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.362849,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.365860,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.368893,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.372850,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 17.376849,-6744,9240,10388,-2416,-720,160
